pyDeepSEA AU ROC	pyDeepSEA AU PR
0.93635	0.03771
0.90398	0.02692
0.95741	0.15069
0.94812	0.32480
0.96931	0.19253
0.80418	0.08231
0.95049	0.40044
0.94622	0.39524
0.94186	0.38710
0.94807	0.43874
0.85417	0.07315
0.85368	0.07226
0.72370	0.00529
0.94178	0.42434
0.88003	0.00003
0.99312	0.55638
0.81447	0.03405
0.86552	0.02963
0.82475	0.05198
0.90130	0.05769
0.80913	0.01288
0.98628	0.60984
0.82606	0.00452
0.86302	0.00511
0.79777	0.00636
0.83111	0.01293
0.84360	0.01616
0.85131	0.00523
0.77565	0.04315
0.85528	0.04288
0.83414	0.04409
0.91491	0.29855
0.82820	0.02429
0.92425	0.02175
0.96635	0.15799
0.94027	0.22553
0.94231	0.07492
0.94998	0.15472
0.91153	0.47236
0.91795	0.03092
0.68822	0.12724
0.93911	0.32629
0.95061	0.44231
0.94602	0.47951
0.94316	0.44922
0.95578	0.47975
0.89749	0.22284
0.90890	0.20187
0.93660	0.30313
0.89895	0.43091
0.91784	0.45991
0.89212	0.22693
0.89208	0.22036
0.89718	0.09794
0.89580	0.20231
0.88850	0.23344
0.72897	0.04124
0.76144	0.01962
0.93356	0.39230
0.71672	0.03011
0.72201	0.04309
0.91856	0.23467
0.91047	0.24311
0.96520	0.44908
0.96209	0.17267
0.91143	0.14123
0.86085	0.25309
0.79653	0.06091
0.77001	0.00653
0.73232	0.07980
0.92661	0.45728
0.93705	0.50298
0.79564	0.11790
0.81646	0.07641
0.78971	0.07550
0.85302	0.27576
0.96233	0.21961
0.74768	0.02605
0.83510	0.01552
0.89804	0.13457
0.85315	0.16830
0.97567	0.60486
0.97678	0.41860
0.97796	0.55918
0.97499	0.62762
0.97672	0.38704
0.97364	0.19649
0.98249	0.58865
0.93111	0.38154
0.97691	0.52545
0.97070	0.51918
0.97138	0.55636
0.97619	0.49066
0.97748	0.58245
0.88602	0.00749
0.98345	0.51224
0.93832	0.40108
0.91554	0.04996
0.97971	0.57090
0.94349	0.45607
0.95355	0.08800
0.99225	0.70459
0.92386	0.35374
0.94598	0.09547
0.98233	0.54604
0.97138	0.37132
0.94683	0.12831
0.98227	0.57652
0.92151	0.37736
0.93613	0.14138
0.96061	0.30979
0.95282	0.11004
0.93334	0.30286
0.97700	0.55841
0.97533	0.56887
0.97328	0.55189
0.97459	0.56645
0.97101	0.62138
0.97096	0.50742
0.96645	0.40923
0.91841	0.34420
0.97570	0.58758
0.98075	0.54100
0.94163	0.37864
0.97663	0.62574
0.98022	0.59659
0.97210	0.59906
0.97976	0.64311
0.97407	0.62644
0.97178	0.59822
0.97409	0.57618
0.97047	0.64590
0.97444	0.63410
0.98583	0.65638
0.97817	0.63256
0.99572	0.24297
0.97880	0.64326
0.98138	0.65831
0.97867	0.64433
0.97512	0.64761
0.98646	0.64202
0.98406	0.63835
0.98533	0.65205
0.97197	0.62513
0.98064	0.64347
0.97128	0.63168
0.98000	0.62138
0.96888	0.63980
0.96840	0.63099
0.97710	0.63826
0.97267	0.61749
0.98279	0.63551
0.98413	0.62878
0.98343	0.62001
0.98264	0.62880
0.97674	0.65418
0.99474	0.63983
0.97150	0.62399
0.97453	0.62268
0.96948	0.63745
0.97680	0.60545
0.98030	0.63456
0.97927	0.63551
0.98525	0.64729
0.97518	0.63809
0.98291	0.61403
0.97461	0.61410
0.98813	0.66142
0.96769	0.60668
0.97707	0.63123
0.97775	0.57808
0.97251	0.68453
0.98262	0.65337
0.98492	0.65403
0.98226	0.60460
0.91269	0.64806
0.84662	0.32916
0.86010	0.14289
0.76341	0.03571
0.83548	0.13642
0.87093	0.11174
0.79770	0.04279
0.82488	0.18919
0.87492	0.05719
0.83673	0.28494
0.85911	0.04149
0.94778	0.46151
0.81483	0.34332
0.87124	0.41408
0.76563	0.14215
0.83229	0.03958
0.82535	0.30962
0.88755	0.68856
0.97201	0.86117
0.87539	0.24375
0.86451	0.10326
0.83799	0.11050
0.93321	0.61990
0.78346	0.17351
0.85569	0.22788
0.82161	0.26405
0.91466	0.46358
0.77610	0.41963
0.83164	0.41394
0.81607	0.40829
0.83488	0.08077
0.76937	0.12079
0.74186	0.25096
0.84718	0.51251
0.86718	0.54232
0.79782	0.31584
0.85445	0.48767
0.86589	0.03876
0.78633	0.05245
0.85319	0.12360
0.86646	0.55002
0.76296	0.40565
0.78129	0.39990
0.73467	0.22023
0.76726	0.45577
0.86710	0.62455
0.85735	0.59023
0.75658	0.28395
0.88967	0.56003
0.78890	0.24666
0.73914	0.24979
0.92495	0.61217
0.82933	0.48605
0.81071	0.25413
0.75138	0.10703
0.80174	0.47728
0.87022	0.66848
0.91804	0.68335
0.77986	0.31630
0.86788	0.56898
0.80221	0.12099
0.78989	0.23434
0.91964	0.52014
0.83033	0.36085
0.84730	0.17364
0.76717	0.03583
0.77536	0.29946
0.86585	0.54428
0.93210	0.61988
0.78118	0.25896
0.90776	0.52839
0.79801	0.06815
0.79495	0.15482
0.85853	0.46688
0.80567	0.45717
0.85246	0.34794
0.77528	0.18669
0.75672	0.40873
0.82753	0.56230
0.89553	0.65380
0.78218	0.32345
0.86559	0.55335
0.81141	0.05207
0.78577	0.11058
0.79160	0.08995
0.91381	0.47944
0.83554	0.46480
0.83621	0.23994
0.86794	0.17289
0.77663	0.25180
0.86216	0.53527
0.94766	0.69801
0.78759	0.28904
0.93976	0.63483
0.87693	0.13969
0.77172	0.02103
0.87006	0.50350
0.78776	0.45955
0.76519	0.24424
0.74931	0.16883
0.77260	0.46276
0.85096	0.60202
0.90217	0.65253
0.77178	0.32018
0.78645	0.08016
